,Label,Message
55,ham,Ha ha..thnx buddy
56,spam,"Dear Customer, You have made a Debit Card purchase of INR479.20 on 29 Mar. Info.IIN*I-Debit*Ama. Your Net Available Balance is INR 1,02,445.73."
57,info,"PNR:4628448886,TRAIN:23277,DOJ:2015-06-08,SL,BF-BTJ,Dep:9:52, Drew,S9 73 , Fare:4627,SC:10.0+PG+INS"
58,ham,birthday party on wed
59,info,"Dear Guest, Thanks for choosing Steiny's Pub. Order ID 2566. Delivery by 2010-05-20 11:26. Enjoy 14% discount on your next purchase. Code JQYQRS. T&C."
60,info,True Value : Service of your car KA15X7517 is due in 63 days on 2013-05-24. Please contact us at 9182877357 to book a service.
61,info,"Hi Customer, Booking ID: WW6D7WK. Seats: SILVER-L12,L13,L14,L15, 4 seat(s) for 10 Cloverfield Lane on 2010-04-06 8:41 at PVR: Arena Mahadevapura, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
62,info,The PNR for your Air India Flt 7D884 for BHU-BLR on 2014-02-15 at 17:35 hrs  is M14BJ6. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
63,spam,"Dear Customer, with reference to the Service request no. 69554370 on your Airtel Mobile, no action could be taken as the call/SMS reported by you was found to be of service/non-promotional in nature. If you are not satisfied with the resolution, contact 198 or Appellate to raise an appeal. For more details, visit www.airtel.in/mobile/prepaid/reach-airtel/mobile-customersupport/"
64,ham,What date you are coming to Goa?
65,info,"PNR:5114184441,TRAIN:24456,DOJ:2014-05-28,SL,BSAE-BVQ,Dep:12:40, Colin,S7 15 , Fare:7800,SC:10.0+PG+INS"
66,info,"Dear Guest, Thanks for choosing Eram Grand Hotel. Order ID 7857. Delivery by 2012-07-30 7:43. Enjoy 21% discount on your next purchase. Code W6HISC. T&C."
67,info,YourBus (KOLAR-Mangaluru 3:27) left  Goragunte Palya at 4:27 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
68,ham,"abhanshu, mary and tom will meet in ccd"
69,ham,Transportation assistance to a neighboring community. Will no after visiting with Jamila?
70,info,The PNR for your SPICE JET Flt 4N334 for HYD-VGA on 2015-06-16 at 2:26 hrs  is LCLHZZ. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
71,ham,remind me to see the doctor next month
72,spam,OTP is 263817 for the txn of INR 17881.00 at AMAZON SELLER SERVICES on your HDFC bank CREDIT card ending with 7433. Valid till 3:31:34. Do not share the OTP with anyone for security reasons
73,spam,Delivered: Your package withNetgear WN3000RP-20..was successfully delivered. More info at http://patm.com/cBfWh1e
74,ham,Hi..I have to talk to you about something urgent. When can I call you?
75,spam,Delivered: Your package withYour Money or Your Life: 9 Step...was successfully delivered. More info at http://jabong.com/cBfWh1e
76,ham,check the emails received before 4pm
77,spam,"EMI FREE-Cash""OD""upto-20Lac From""BAJAJ""only @RS-42 per DAY% &amp; % will charge only on uses amount&amp; PL bryanmarshall@outlook.com% with same day disbursal,cal@ 8658649477-DEEPAK"
78,info,"Dear Guest, Thanks for choosing Piccadilly Pub. Order ID 7667. Delivery by 2013-06-02 14:44. Enjoy 1% discount on your next purchase. Code L4XWK2. T&C."
79,info,The PNR for your AirAsia Flt 5H146 for LKO-TRZ on 2010-08-16 at 19:17 hrs  is RU5TUS. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
80,spam,Get benefits on multiple categories near you. Register all your cards on the OneAssist App http://bit.ly/29zWTvx and view exclusive benefits on your cards.
81,ham,i have an appointment with dr. shastri tomorrow evening
82,info,The PNR for your INDIGO Flt 1G123 for BUP-ISK on 2014-07-28 at 15:49 hrs  is O9U9PF. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
83,ham,call john between 5 and 7 on thursday evenings
84,info,"Thank you for choosing Ola for 2013-01-02 at 15:34. Cab:KA15V8853 , Chauffer: Landen, Cell: 9783525374 will reach you. T&C apply, visit www.Ola.com"
85,info,"Welcome to EMPIRE BK R.No. 515, 182, 175 Ch.In 2012-07-14 9:11 Ch.out 2012-08-09 12:00."
86,info,"[Yonah Shimmel 's Knish Bakery] Hi Isaac, your reservation is confirmed for 1 people on 2014-11-14 at 0:33. We can hold your table for a maximum of 17 mins."
87,info,The PNR for your JET Airways Flt 7D662 for LDA-BHJ on 2012-02-11 at 14:38 hrs  is HDBQ0L. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
88,info,"Thank you for choosing taxiforsure for 2015-02-10 at 2:30. Cab:KA54U6842 , Chauffer: Peyton, Cell: 9831674543 will reach you. T&C apply, visit www.taxiforsure.com"
89,info,Maha Veer Auto Agency : Service of your car KA63R5134 is due in 51 days on 2011-10-16. Please contact us at 9274282828 to book a service.
90,ham,meet john for weeks in march in london
91,ham,electricity bill deadline is 4th
92,spam,"Dear JET Airways Customer, flight 6Z263 from KTU shall be boarding from gate 2Y. Boarding gate closes29 mins prior to the departure time."
93,info,"Welcome to Prima Tower Revolving Restaurant R.No. 571, 315, 116 Ch.In 2012-12-03 4:12 Ch.out 2012-12-09 12:00."
94,ham,Evening@five past 5
95,spam,OTP is 355567 for the txn of INR 2479.00 at Uber on your SBI bank CREDIT card ending with 1322. Valid till 8:31:17. Do not share the OTP with anyone for security reasons
96,ham,Hey have you paid this month's money to our cook?
97,info,"[Pie Face] Hi Joshua, your reservation is confirmed for 7 people on 2009-09-24 at 16:27. We can hold your table for a maximum of 43 mins."
98,spam,OTP is 127118 for the txn of INR 13830.00 at Aryan Auto Agency on your HDFC bank CREDIT card ending with 1274. Valid till 20:19:29. Do not share the OTP with anyone for security reasons
99,info,"Dear Guest, Thanks for choosing Handel 's Homemade Ice Cream and Yogurt. Order ID 8473. Delivery by 2013-03-08 10:22. Enjoy 7% discount on your next purchase. Code LBPFBJ. T&C."
100,info,Bill dated 2011-04-28 for Rs 1122 has been generated for your Airtel fixedline/broadband relationship no. 83527458. The same will reach you by 2011-05-01. Due date: 2011-05-13.
101,info,Maha Veer Auto Agency : Service of your car KA58X5263 is due in 14 days on 2011-12-12. Please contact us at 9355717625 to book a service.
102,ham,Let's meet for 30 min every Fri at 6PM for the next three months
103,info,"Welcome to River mouth R.No. 145, 564, 113 Ch.In 2013-08-21 16:51 Ch.out 2013-09-13 12:00."
104,ham,"Hello Sir,I will be meeeting ur family tomorrow."
105,info,"Hi Customer, Booking ID: WOVZYZ9. Seats: PLATINUM-F7,F8,F9,F10,F11,F12, 6 seat(s) for Hacksaw Ridge on 2010-10-05 23:47 at Fun Cinemas: Sigma Mall, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
106,spam,Want to become a Gourmet Chef? Presenting BigBasket HappyChef. Now you can cook world class gourmet meals at home in minutes. Visit: http://goo.gl/w89anh
107,ham,Mahatma Gandhi Memorial Medical College
108,info,"* KSRTC m-Ticket *  from: SRIKALAHASTI to: Mangaluru PsngrName: Derrick TripCode: 1823SRIMan PNR No.: J94148548 JnyDate: 2011-02-14 DepTime: 18:23  SeatNo.: 52, 6  Class: AC Sleeper  BoardingPt: SRIKALAHASTI Residency Road Txn Password: 5574 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
109,spam,Delivered: Your package withNikon AF-S DX Nikkor 35mm f/1.9...was successfully delivered. More info at http://myantra.com/cBfWh1e
110,spam,"Rs.1178.56 was spent on ur HDFCBank CREDIT Card ending 7967 on 2015-10-24:17:45:49 at M K RETAIL COMPANY.Avl bal - Rs.84761.44, curr o/s - Rs.40238.56"
111,ham,Want to go to the movies next Tuesday?
112,ham,i will get the order on the 14th
113,ham,I guess I'll go too then
114,spam,"HBAC1, DHARMSHEELA, ORDER# TT437079973."
115,info,"Hi Customer, Booking ID: WEKK90A. Seats: GOLD-E1,E2,E3,E4, 4 seat(s) for Star Trek Beyond on 2009-10-27 13:11 at Cauvery Theatre: Sankey Road. Please carry your CC/DC card which was used for booking tickets."
116,info,Appointment with Dr Nathan in KOTTAYAM on 2013-04-21 at 0:10 is confirmed. For queries call 1800 6635 1446. Your appt. might get delayed in case the doctor is attending an emergency.
117,ham,i will be in london on 18th. meet john there
118,info,"Thank you for choosing Meru for 2010-03-24 at 7:20. Cab:KA27A8341 , Chauffer: Elias, Cell: 9713364438 will reach you. T&C apply, visit www.Meru.com"
119,ham,ok I will only call him and invite for the party :)
120,info,"PNR:8533528138,TRAIN:1155,DOJ:2009-11-27,FC,UMN-BTE,Dep:14:29, Aiden,F9 50 , Fare:9752,SC:10.0+PG+INS"
121,ham,In meeting. Urgent?
122,info,"Dear Guest, Thanks for choosing Big Daddy 's Restaurants. Order ID 2232. Delivery by 2012-10-27 10:51. Enjoy 9% discount on your next purchase. Code V1NVDS. T&C."
123,spam,"Dear AirAsia Customer, flight 8S183 from SXV shall be boarding from gate 5Z. Boarding gate closes18 mins prior to the departure time."
124,info,The PNR for your JET Airways Flt 5O665 for COK-IXM on 2012-11-12 at 6:20 hrs  is AU3NM3. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
125,spam,"Dear SPICE JET Customer, flight 1L314 from TRV shall be boarding from gate 15V. Boarding gate closes9 mins prior to the departure time."
126,spam,"Dear Customer, thank you for your interest in airtel postpaid. Kindly call our executive SATISHKUMAR - 9049454429 for document pickup"
127,info,"Thank you for choosing Meru for 2010-04-17 at 18:41. Cab:KA76B7516 , Chauffer: Gabriel, Cell: 9434472236 will reach you. T&C apply, visit www.Meru.com"
128,ham,i will be going to usa from 9th july to 21st july
129,info,"Dear Guest, Thanks for choosing Narmafzar Tower. Order ID 8444. Delivery by 2011-01-24 22:20. Enjoy 28% discount on your next purchase. Code JWRIIP. T&C."
130,ham,Remember that turn off the lights next Saturday
131,spam,OTP is 768525 for the txn of INR 16592.00 at Ebay on your HDFC bank CREDIT card ending with 8687. Valid till 9:19:28. Do not share the OTP with anyone for security reasons
132,info,Thank you for using your HDFC bank CREDITcard ending 4131 for Rs. 1896.00 in CHIKKAMAGALURU at AMAZON SELLER SERVICES on 2011-04-07 7:57
133,info,"* KSRTC m-Ticket *  from: PONDICHERRY to: Shirdi PsngrName: Wyatt TripCode: 1614PONShi PNR No.: J46383377 JnyDate: 2014-10-06 DepTime: 16:14  SeatNo.: 24, 11, 34, 3  Class: AC chair  BoardingPt: PONDICHERRY MG Road Txn Password: 7527 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
134,info,YourBus (Chennai-CHANNARAYAPATNA 5:30) left  Agara Flyover at 6:30 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
135,info,"Hi Customer, Booking ID: WM7DZBI. Seats: STANDARD-I4,I5,I6,I7,I8,I9, 6 seat(s) for Trolls on 2010-01-06 12:39 at The Cinema GT World: Magadi Rd, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
136,ham,will let u know in a minute
137,ham,Dungeons & Dragons tonight at Ron's house starting at 7 p.m. until midnight
138,info,Bill dated 2014-01-17 for Rs 605 has been generated for your Aircel fixedline/broadband relationship no. 77883162. The same will reach you by 2014-01-20. Due date: 2014-02-01.
139,info,YourBus (Chennai-PUTTAPARTHI 11:56) left  Dairy Circle at 12:56 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
140,info,"[Garden Grill] Hi Johnny, your reservation is confirmed for 19 people on 2010-06-25 at 9:22. We can hold your table for a maximum of 6 mins."
141,info,Appointment with Dr Jaiden in AGUMBE on 2011-09-25 at 17:37 is confirmed. For queries call 1800 6347 5874. Your appt. might get delayed in case the doctor is attending an emergency.
142,spam,"Dear SPICE JET Customer, flight 8Z864 from JRH shall be boarding from gate 2P. Boarding gate closes23 mins prior to the departure time."
143,spam,Account notification: The password for your Google Account derekhughes565@gmail.com was recently changed. google.com/password
144,ham,call john on next 12th after 12:30 am
145,ham,meet from 12pm till evening
146,spam,OTP is 438575 for the txn of INR 1811.00 at Ola on your HDFC bank Debit card ending with 7477. Valid till 16:24:18. Do not share the OTP with anyone for security reasons
147,spam,"Dear customer, We wish you a Happy Holi. Thanks for being a ShopClues customer."
148,info,"* KSRTC m-Ticket *  from: SAGAR to: Kozhikode PsngrName: Elias TripCode: 1231SAGKoz PNR No.: J93099767 JnyDate: 2010-12-22 DepTime: 12:31  SeatNo.: 35, 36, 7, 40, 15, 16, 49, 50, 31  Class: AC chair  BoardingPt: SAGAR Residency Road Txn Password: 2257 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
149,ham,"Sounds good, how about 6pm?"
150,info,YourBus (NELLORE-SRIHARIKOTA 22:58) left  Bannerghatta Road at 23:58 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
151,ham,def. Where and when
152,spam,"Dear JET Airways Customer, flight 6U258 from BEP shall be boarding from gate 8Z. Boarding gate closes24 mins prior to the departure time."
153,spam,"Dear customer, We wish you a Happy Vasant Panchami. Thanks for being a Air India customer."
154,ham,Next wed..Sorry :P
155,info,Bill dated 2014-10-01 for Rs 931 has been generated for your Docomo fixedline/broadband relationship no. 71631344. The same will reach you by 2014-10-04. Due date: 2014-10-16.
156,info,"Thank you for choosing taxiforsure for 2010-08-11 at 11:31. Cab:KA47Y8865 , Chauffer: Trey, Cell: 9776488761 will reach you. T&C apply, visit www.taxiforsure.com"
157,spam,"Dear customer, We wish you a Merry Christmas. Thanks for being a YES Bank customer."
158,spam,"Dear JET Airways Customer, flight 1F543 from CCJ shall be boarding from gate 2I. Boarding gate closes9 mins prior to the departure time."
159,ham,oh yeah we can talk at 5pm. its about that one girl who really likes you
160,spam,Delivered: Your package withChina Maid Laundry bag for keeping your dirty cloths.was successfully delivered. More info at http://ebay.com/cBfWh1e
161,ham,okk done..c u there at 6pm
162,ham,meet mary in front of ccd in koramangala tmrw evening
163,info,Thank you for using your SBI bank Debitcard ending 2213 for Rs. 2223.00 in Dharmastala at Snapdeal on 2013-05-18 14:44
164,spam,"Dear Customer, acct XX5278 is credited with Rs.500.00 on 05-Mar-17 from anujkmishra@upi. UPI Ref no 978440286795"
165,ham,meeting on every friday afternoon from 2:00pm to 4:00pm
166,spam,"Dear customer, We wish you a Happy Muharram. Thanks for being a Uber customer."
167,ham,I heard that Aalamgeer & Aieeda are getting married next month.
168,ham,bring files to office
169,info,"* KSRTC m-Ticket *  from: NELLORE to: AGUMBE PsngrName: Julio TripCode: 452NELAGU PNR No.: J14805508 JnyDate: 2013-04-05 DepTime: 4:52  SeatNo.: 24, 17  Class: AC Sleeper  BoardingPt: NELLORE Bus Stand Road Txn Password: 6657 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
170,info,"Repair ref.no for your car is JC53218863 opened on 2015-01-15 15:39hrs,ETD of your car is 2015-01-16 13:52hrs and est.repair amt is Rs.2059 Rgds, Maha Veer Auto Agency"
171,spam,Delivered: Your package withSurf Excel Matic Front Load Deterge... and 2 other itemswas successfully delivered. More info at http://amazon.com/cBfWh1e
172,ham,art museum will be opened for public from 5th onwards for 10 days
173,info,YourBus (MANDYA-SAGAR 7:21) left  Bellandur at 8:21 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
174,info,"Hi Customer, Booking ID: W42JX2S. Seats: GOLD-B15,B16,B17,B18, 4 seat(s) for Moana on 2015-01-10 5:18 at Cinepolis: Royal Meenakshi Mall. Please carry your CC/DC card which was used for booking tickets."
175,info,"[S and M Cafe] Hi Andres, your reservation is confirmed for 11 people on 2014-04-24 at 10:44. We can hold your table for a maximum of 18 mins."
176,ham,Tom is coming during January
177,spam,Delivered: Your package withArtificial Intelligence: A Modern Approachwas successfully delivered. More info at http://flipkart.com/cBfWh1e
178,spam,"Greetings, INDIGO wishes you a Happy Gandhi Jayanti."
179,ham,Enquire in Bangalore
180,spam,Cheer out loud for India! Enjoy the nail biting match while we deliver dinner to you at flat 10% off. Use code INDIA. Order right away goo.gl/mWgvjP *T&C.
181,spam,"Dear Customer, Your Ac XXXXXXXX9978 is credited with INR20,000.00 on 18 Jul. Info.INF*983286389349*LOAN MIHIR. Your Net Available Balance is INR22,738.77."
182,info,"Thank you for choosing AirportTaxi for 2012-03-03 at 17:25. Cab:KA14G8433 , Chauffer: Jalen, Cell: 9746851124 will reach you. T&C apply, visit www.AirportTaxi.com"
183,ham,"Sorry sorry, Julie is not coming actually"
184,info,"Hi Customer, Booking ID: WWXYHVF. Seats: PLATINUM-K2,K3,K4,K5,K6,K7, 6 seat(s) for 10 Cloverfield Lane on 2009-08-24 5:22 at Cinepolis: Royal Meenakshi Mall. Please carry your CC/DC card which was used for booking tickets."
185,spam,"Dear customer, We wish you a Happy Independence day. Thanks for being a UCO Bank customer."
186,spam,Delivered: Your package with4m Long Super Strong Emergency Heavy Duty Car Tow Cable 3 T...was successfully delivered. More info at http://flipkart.com/cBfWh1e
187,spam,Love Cheese?Then use code KZCHZ & get BOGO on cheeseria(veg/paneer/chicken)at kaatizone.com.Free Home delivery for orders above Rs.250.Order now - kaatizone.com
188,info,YourBus (Pune-KOTTAYAM 14:51) left  Domlur Flyover at 15:51 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
189,spam,OTP is 838162 for the txn of INR 16570.00 at Air India on your SBI bank CREDIT card ending with 8655. Valid till 9:39:18. Do not share the OTP with anyone for security reasons
190,ham,Hey what time are we heading to SJ tomorrow?
191,ham,he will come at 6pm
192,info,"Repair ref.no for your car is JC85575118 opened on 2011-01-17 23:22hrs,ETD of your car is 2011-01-18 1:17hrs and est.repair amt is Rs.193 Rgds, Bimal Auto Agency"
193,info,"Repair ref.no for your car is JC42363556 opened on 2010-12-08 17:54hrs,ETD of your car is 2010-12-09 7:14hrs and est.repair amt is Rs.1168 Rgds, Hyundai Auto Agency"
194,ham,pick up john from school at 4 p.m
195,spam,"Dear AirAsia Customer, flight 4V247 from SUN shall be boarding from gate 11G. Boarding gate closes25 mins prior to the departure time."
196,spam,Delivered: Your package withThe Three Little Pigs (First Fav... and 1 other itemwas successfully delivered. More info at http://patm.com/cBfWh1e
197,ham,I have to check on Harry abt his well being after breakfast
198,ham,Lets plan a trip to goa.
199,ham,lets meet 2 days after 6
200,ham,i am meeting john in the office tomorrow
201,ham,meet mary before office
202,ham,Hey...Can u gimme a drop to Deepak's Place?
203,spam,"Dear SPICE JET Customer, flight 1I781 from DHM shall be boarding from gate 8G. Boarding gate closes18 mins prior to the departure time."
204,info,"Hi Customer, Booking ID: W0G4WLS. Seats: PLATINUM-G11, 1 seat(s) for Star Trek Beyond on 2013-12-31 1:15 at Gopalan Cinemas: Arcade Mall, Mysore Road. Please carry your CC/DC card which was used for booking tickets."
205,ham,i should meet the dentist @ sharp 6 in the evening
206,info,"Hi Customer, Booking ID: WOIU514. Seats: SILVER-N15,N16,N17,N18,N19, 5 seat(s) for X-Men: Apocalypse on 2012-08-08 4:16 at PVR: Orion Gold, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
207,info,Thank you for using your SBI bank Debitcard ending 3854 for Rs. 1665.00 in THIRUNALLAR at Askme on 2011-01-06 3:29
208,info,"Thank you for choosing Ola for 2010-04-16 at 8:23. Cab:KA32E5746 , Chauffer: Ryan, Cell: 9734258743 will reach you. T&C apply, visit www.Ola.com"
209,ham,pick up tuxedos Saturday
210,ham,Fashion Week at at 11
211,ham,meet john on every single day
212,ham,Okay now do not be a spoilsport. We can party after 7 PM..
213,info,"Dear Guest, Thanks for choosing Teppanyaki Steakhouse. Order ID 7463. Delivery by 2011-02-09 17:46. Enjoy 16% discount on your next purchase. Code PZYYVQ. T&C."
214,info,"* KSRTC m-Ticket *  from: KOLAR GOLD FIELD to: Dharmastala PsngrName: Joshua TripCode: 934KOLDha PNR No.: J56380079 JnyDate: 2013-01-01 DepTime: 9:34  SeatNo.: 4, 13, 15, 51, 52, 26  Class: Non-AC chair  BoardingPt: KOLAR GOLD FIELD Residency Road Txn Password: 5542 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
215,spam,"Greetings, ShopClues wishes you a Happy Republic Day."
216,ham,Can we attend Mr. Shastri's lecture on AlterEgo @ training room
217,spam,OTP is 872846 for the txn of INR 1991.00 at Ola on your HDFC bank Debit card ending with 4455. Valid till 2:22:32. Do not share the OTP with anyone for security reasons
218,info,YourBus (KOLAR-PUDUKOTAI 21:37) left  B T M Layout at 22:37 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
219,info,"* KSRTC m-Ticket *  from: Mumbai to: PONDICHERRY PsngrName: Mason TripCode: 111MumPON PNR No.: J69054076 JnyDate: 2011-11-22 DepTime: 1:11  SeatNo.: 41, 53  Class: AC chair  BoardingPt: Mumbai Bus Stand Road Txn Password: 1378 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
220,ham,go to the movie on Sunday
221,info,"Repair ref.no for your car is JC63214156 opened on 2015-02-08 16:10hrs,ETD of your car is 2015-02-09 22:50hrs and est.repair amt is Rs.2684 Rgds, Bimal Auto Agency"
222,ham,"can you pls bring my suit from dry clean today before 8p.m., bcz by the time I'll reach there it will get close"
223,ham,I didn't get IT return money
224,ham,"Ok den I?ll call up the theatre, and find out about tickets on Friday morning."
